Production_budget_USD,Worldwide_gross_USD
10000000,00388
6600000,00828
30000000,00918
9000000,01242
30000000,03200
16000000,03361
46500000,03622
30000000,03892
34000000,04091
10000000,04803
26000000,05000
7700000,05336
10000000,06422
5000000,07556
5000000,08297
6537890,08744
10000000,09069
12500000,10011
23000000,10452
10000000,11894
6000000,13722
9000000,14443
12000000,14616
11400000,15000
5800000,15091
5000000,16670
35000000,16816
24200000,17000
21000000,17396
10000000,17472
12000000,17479
12000000,17484
8000000,19585
10000000,19716
5250000,20097
15000000,22441
15000000,22723
8000000,23106
10600000,24084
5500000,24956
6800000,25032
6000000,25317
5600000,27766
5500000,28468
7000000,30471
5700000,30638
15000000,30680
7000000,31443
16000000,31631
6000000,32251
56000000,32766
5700000,35955
6000000,36497
23000000,36686
8000000,36884
26000000,42472
10000000,45779
50000000,46425
7000000,46488
14000000,47185
11900000,48856
17700000,49521
6800000,49526
24000000,49981
8900000,50136
8000000,53086
6000000,54606
8000000,54702
20000000,55039
5000000,56001
5500000,56653
7200000,59774
11000000,61611
15000000,61847
6500000,64148
6000000,65108
5000000,65388
6000000,66351
5000000,67505
10000000,67657
5700000,69582
9000000,70066
10000000,70527
18000000,70644
33000000,70958
15000000,73548
65000000,74070
14200000,74205
15000000,76382
40000000,79123
55000000,79161
15300000,81525
11900000,81897
8000000,82703
5000000,84733
10000000,93388
5000000,99147
10000000,100688
8000000,100915
50000000,102118
15000000,102458
8000000,109045
8000000,109338
10000000,109383
6750000,113568
9500000,115155
6000000,115862
6000000,119452
5000000,121016
20000000,121972
12000000,122558
15000000,123570
10500000,125169
10000000,126247
8000000,127188
5000000,127564
10000000,128486
25000000,129115
6000000,129210
10000000,131719
5000000,134552
30000000,135739
10000000,137221
25000000,137885
10000000,139034
8500000,140244
10000000,141108
5000000,143273
18000000,145526
12000000,146028
20000000,146072
8000000,146083
9000000,148089
9000000,148826
10000000,150191
10000000,152857
8000000,163753
13400000,164247
50000000,166003
10000000,173472
33000000,176847
8900000,176988
12000000,178287
6000000,181798
9000000,184255
12000000,190946
90000000,195459
17000000,195792
7000000,196067
12000000,196857
7500000,197148
20000000,200730
30000000,201857
25000000,205505
7500000,206400
20000000,206678
9000000,208163
12000000,214202
13000000,217277
12000000,220175
15000000,220944
10000000,221805
16800000,223202
5000000,223838
6700000,223878
10000000,226792
10000000,228524
5000000,228830
18000000,229311
11000000,229653
5800000,230312
7500000,231346
7000000,234750
5000000,240425
10000000,244465
10000000,245359
9000000,248795
8000000,252676
7000000,254683
14000000,266967
6000000,267194
10000000,268461
14000000,274299
17000000,275380
20000000,277943
35000000,289773
12500000,292562
8000000,298110
8500000,298347
12000000,303439
13000000,303877
20000000,305070
7000000,306715
100000000,311434
18000000,315000
15500000,318623
18900000,320700
17500000,325491
8000000,336456
16000000,337997
5000000,340911
45500000,347136
9000000,349618
5000000,353480
15000000,353743
11000000,355968
10000000,366301
20000000,375474
12000000,378650
7000000,382946
5600000,385422
5000000,391611
6000000,391942
10800000,399879
14000000,403952
5000000,407488
6000000,408159
5000000,418689
6400000,449865
12000000,450594
7000000,453377
9000000,454255
9900000,458054
8000000,458232
40000000,463730
13000000,464495
20000000,468867
19700000,476270
30000000,480314
10000000,488872
30000000,490973
8300000,493296
15000000,501752
6000000,509424
15500000,517262
7000000,523511
15000000,528731
15000000,529766
5600000,531806
7500000,533344
20000000,538460
30000000,538690
5800000,542860
7000000,546201
12000000,550472
11000000,551002
21000000,557241
5200000,564489
8000000,568932
10000000,580862
20000000,582024
20000000,587470
8000000,589308
8000000,590817
10000000,598645
5500000,611709
70000000,619423
13000000,622023
38000000,623374
40000000,627047
35000000,630779
15000000,632542
21600000,635733
10000000,641439
13000000,656688
7000000,659000
40000000,659210
24000000,669276
30000000,669625
7900000,672243
15000000,673414
18000000,676698
12500000,677200
13500000,687081
8000000,690290
8000000,700261
16000000,705908
60000000,709982
25000000,720828
5000000,742898
10000000,749641
20000000,754301
27000000,765637
5250000,769726
6000000,773490
25000000,780326
5400000,792200
12000000,793352
5200000,795126
6000000,802778
15000000,824295
10000000,836641
5000000,851690
10000000,866778
12000000,870067
6400000,871577
25000000,872142
7400000,872643
40000000,876671
25000000,881745
7700000,882290
20000000,882710
9000000,883887
10000000,900926
40000000,915840
6800000,927107
5000000,942441
10000000,952820
21000000,970816
113500000,999811
14000000,1000000
7000000,1000000
5500000,1008098
10000000,1011054
12700000,1022720
5500000,1023424
13000000,1024175
6500000,1029017
6000000,1030920
20000000,1031872
18000000,1034589
5000000,1050861
9000000,1053788
22000000,1054361
5500000,1060512
20000000,1065907
10100000,1066555
9000000,1069318
36000000,1069334
10000000,1069454
8000000,1071240
5000000,1082044
26000000,1083350
12500000,1089445
27000000,1090947
8000000,1095369
8500000,1109199
6500000,1109660
12500000,1110186
7000000,1110509
55000000,1147784
13000000,1151330
13000000,1152117
8000000,1163056
13000000,1173673
10100000,1183658
20000000,1186538
12000000,1188194
25000000,1190003
20000000,1190018
5250000,1200010
15000000,1200216
8400000,1207007
12500000,1212799
6000000,1214525
50000000,1224330
15500000,1237615
7000000,1246141
42000000,1259693
10000000,1276984
10000000,1279681
10000000,1291645
15000000,1294640
18000000,1305114
32000000,1308696
77500000,1311213
35000000,1320043
7500000,1333124
8000000,1335672
6000000,1348205
19000000,1353824
17000000,1361045
19100000,1361512
6000000,1418304
7000000,1429299
10000000,1430721
12000000,1442338
10000000,1475746
16000000,1477650
35000000,1500000
12000000,1506998
25000000,1513793
5000000,1526697
9000000,1530535
9000000,1533324
10000000,1562800
17000000,1569918
6200000,1579146
10400000,1610194
12500000,1612957
7000000,1632000
10000000,1638202
10000000,1641788
40000000,1641825
20000000,1646664
15000000,1658706
7000000,1661464
16000000,1669971
9200000,1685269
16000000,1686429
15500000,1693000
25000000,1702112
12000000,1703125
40000000,1738477
7000000,1738692
14000000,1755212
10000000,1759252
12000000,1779284
13000000,1784763
7000000,1785645
8000000,1793359
10000000,1799322
58000000,1802521
22000000,1810078
7300000,1818681
10000000,1822250
8300000,1829142
25000000,1872994
7000000,1891936
80000000,1900451
20000000,1903434
10000000,1930282
15000000,1953732
15000000,1954202
35000000,2000000
20000000,2000000
11000000,2000000
10000000,2000000
5200000,2000000
9000000,2000093
16000000,2013456
11900000,2022115
6500000,2025032
6000000,2025238
13000000,2037459
12500000,2039869
19500000,2061449
7000000,2062066
12000000,2062406
65000000,2070920
6000000,2077046
5000000,2080693
13300000,2086345
13000000,2087720
12000000,2104164
13000000,2104439
6100000,2108367
17000000,2110050
19000000,2119994
19000000,2119994
5952000,2120439
5000000,2141423
45000000,2154540
8300000,2160710
7000000,2165637
5000000,2184640
10000000,2185266
5300000,2197694
11000000,2200000
12000000,2201923
15000000,2203641
6000000,2207975
35000000,2221994
18000000,2222862
63700000,2223293
5000000,2229058
17000000,2231474
20000000,2246000
6500000,2274649
8000000,2275557
29200000,2280004
15000000,2281585
17000000,2315000
16000000,2322593
12000000,2326407
6500000,2339957
7000000,2344847
20000000,2353728
20000000,2374107
18000000,2402004
25000000,2405420
15000000,2423467
16000000,2429989
15000000,2434652
5250000,2450504
5000000,2450846
9000000,2450867
25000000,2455635
14000000,2461628
20000000,2468683
20000000,2483472
18000000,2483790
9600000,2484186
10000000,2529395
25000000,2546747
13300000,2614251
14000000,2656784
36000000,2679437
9200000,2684904
17000000,2694071
13000000,2703296
5000000,2712131
23000000,2715657
28000000,2775593
11000000,2794056
40000000,2816518
20700000,2840417
11000000,2844379
12000000,2883879
10000000,2893666
32000000,2899970
7000000,2938532
36000000,2954405
9000000,2956339
10000000,3000000
5000000,3000342
30000000,3005605
7500000,3014696
15000000,3020665
9400000,3030848
10000000,3041803
5000000,3046086
9200000,3047539
11000000,3051221
25000000,3054285
13000000,3058380
5600000,3064356
6000000,3067312
5000000,3072605
25000000,3073392
13000000,3075255
8000000,3076425
20000000,3083538
14000000,3100650
30000000,3102550
10000000,3128941
9000000,3134509
38000000,3143056
12000000,3149034
13000000,3172382
10000000,3193102
18000000,3203044
8000000,3205706
5000000,3220371
60720000,3229457
22000000,3242457
15000000,3247816
26000000,3254172
6000000,3273588
10750000,3275443
10000000,3275585
16000000,3287315
6000000,3322127
10000000,3336053
6000000,3347411
7500000,3347647
10000000,3357324
10000000,3400278
18000000,3419967
9000000,3438735
44000000,3484331
18000000,3500605
30000000,3517797
15000000,3526588
20000000,3531756
7000000,3571624
9500000,3573673
32000000,3588602
6000000,3591299
5000000,3614896
5500000,3629758
8000000,3647381
26700000,3652206
45000000,3681811
40000000,3688560
15000000,3703046
13000000,3703182
5000000,3707583
18000000,3712282
43000000,3740823
11000000,3753806
9900000,3759078
8000000,3759286
20000000,3763583
30000000,3765585
10000000,3818664
8300000,3827466
10000000,3877922
5900000,3895664
30000000,3909149
8000000,3915251
12000000,3950294
5000000,3954651
14000000,3958546
6500000,4002293
25000000,4008527
20000000,4017609
15000000,4023741
8470000,4046336
6400000,4063859
25000000,4064333
11000000,4068087
10000000,4073448
5000000,4078607
18000000,4100000
7500000,4151836
12500000,4157491
30000000,4167493
22500000,4200117
30000000,4211129
35000000,4212494
16000000,4217115
18500000,4221341
15000000,4235837
7500000,4239767
10000000,4269426
8500000,4273372
33000000,4283255
10000000,4286367
14000000,4299773
5000000,4306697
9000000,4333569
5000000,4339241
24000000,4356126
32000000,4357406
12500000,4360548
10000000,4365455
7000000,4372561
22000000,4398532
6000000,4398989
42000000,4408420
46000000,4408636
100000000,4411102
60000000,4426297
18000000,4438438
20000000,4442377
7300000,4443403
8500000,4444637
20000000,4452423
27500000,4463292
27000000,4476235
27000000,4485485
35000000,4496583
18000000,4501094
6000000,4543320
28700000,4559569
40000000,4563029
6000000,4595000
25000000,4598506
15000000,4604982
45000000,4617608
35000000,4651977
6000000,4670644
6000000,4694491
14000000,4702420
24000000,4710455
20000000,4712792
8000000,4714090
12000000,4717455
7000000,4720371
16000000,4734235
14000000,4741987
19000000,4750000
60000000,4775656
40000000,4777007
9000000,4777465
5000000,4799774
18000000,4806750
11000000,4814244
5000000,4816142
22000000,4835065
40000000,4835968
16000000,4839383
13000000,4857374
6000000,4859475
5500000,4865000
12000000,4880941
12000000,4884663
9000000,4886216
13000000,4919896
12000000,4922166
17000000,4936819
9000000,4950029
15000000,4956401
22000000,5000000
8500000,5001655
13000000,5002310
10000000,5005465
20000000,5005899
5000000,5010163
7000000,5017971
8000000,5018450
15000000,5027684
19000000,5059608
12000000,5078660
16000000,5083906
35000000,5101237
14000000,5108820
25000000,5128124
